nome,linguagem,stargazes,watchers,data_criacao,forks,url
mypy,Python,8144,174,2012-12-07T13:30:23Z,1207,https://github.com/python/mypy
ballot-box,Python,8,2,2015-03-13T23:41:12Z,4,https://github.com/gvanrossum/ballot-box
micropython,C,444,68,2015-08-07T11:58:53Z,226,https://github.com/bbcmicrobit/micropython
cpython,Python,3,1,2015-11-05T12:07:26Z,0,https://github.com/fake-python/cpython
make-stub-files,Python,20,3,2016-01-26T16:54:22Z,3,https://github.com/edreamleo/make-stub-files
typed_ast,C,152,18,2016-02-16T22:40:09Z,35,https://github.com/python/typed_ast
mypy-website,HTML,10,7,2016-03-11T16:02:25Z,4,https://github.com/JukkaL/mypy-website
overload-sig,,2,13,2016-08-17T14:22:49Z,0,https://github.com/python/overload-sig
com2ann,Python,50,6,2016-09-09T07:17:02Z,1,https://github.com/ilevkivskyi/com2ann
gvanrossum.github.io,HTML,41,2,2016-09-09T22:54:11Z,6,https://github.com/gvanrossum/gvanrossum.github.io
TatSu,Python,147,13,2017-05-02T02:58:58Z,33,https://github.com/neogeny/TatSu
pythonlabs,HTML,16,2,2017-06-04T05:00:26Z,0,https://github.com/gvanrossum/pythonlabs
mypy-dummy,Python,6,2,2017-08-31T16:42:53Z,0,https://github.com/gvanrossum/mypy-dummy
pep550,Python,7,3,2017-09-05T21:59:49Z,1,https://github.com/gvanrossum/pep550
mypy_mypyc-wheels,Shell,4,2,2018-10-10T20:02:06Z,0,https://github.com/mypyc/mypy_mypyc-wheels
mypy_extensions,Python,68,13,2019-01-14T23:37:26Z,10,https://github.com/python/mypy_extensions
pygl,Python,3,2,2019-04-27T10:47:30Z,0,https://github.com/neogeny/pygl
pegen,Python,148,17,2019-05-07T16:43:15Z,19,https://github.com/gvanrossum/pegen
ctok,C,51,3,2019-06-22T03:38:29Z,5,https://github.com/gvanrossum/ctok
test-581,,2,2,2019-06-28T18:52:53Z,0,https://github.com/willingc/test-581
guidos_time_machine,Python,51,12,2020-03-05T04:06:18Z,2,https://github.com/gvanrossum/guidos_time_machine
